,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
1,CRC,ARES MANAGEMENT LLC,10% Owner,"Jun 04, 2021",$30.21,138000,4168980,16584587,"Jun 08, 2021, 07:29 PM",buy
2,ASUR,Drew William Carl,Director,"Jun 04, 2021",$8.15,20000,163000,37165,"Jun 08, 2021, 06:56 PM",buy
3,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 04, 2021",$5.77,400,2308,2160400,"Jun 08, 2021, 06:29 PM",buy
4,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 07, 2021",$5.66,3800,21497,2164200,"Jun 08, 2021, 06:29 PM",buy
5,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 04, 2021",$5.77,400,2308,2160400,"Jun 08, 2021, 06:29 PM",buy
6,JMP,WEDBUSH SECURITIES INC,10% Owner,"Jun 07, 2021",$5.66,3800,21497,2164200,"Jun 08, 2021, 06:29 PM",buy
7,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 07, 2021",$867.20,1300,1127360,80579,"Jun 08, 2021, 06:13 PM",buy
8,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 04, 2021",$816.81,373,304670,79279,"Jun 08, 2021, 06:13 PM",buy
9,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 08, 2021",$910.96,102,92918,80681,"Jun 08, 2021, 06:13 PM",buy
10,APTS,Finley Sara,Director,"Jun 07, 2021",$10.51,5000,52550,32594,"Jun 08, 2021, 05:59 PM",buy
11,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 17, 2021",$2.83,5805,16429,161799,"Jun 08, 2021, 05:22 PM",buy
12,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 21, 2021",$2.97,105,312,149234,"Jun 08, 2021, 05:22 PM",buy
13,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 30, 2021",$2.78,105,292,149944,"Jun 08, 2021, 05:22 PM",buy
14,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 11, 2021",$2.68,105,281,150679,"Jun 08, 2021, 05:22 PM",buy
15,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 26, 2021",$2.97,105,312,149549,"Jun 08, 2021, 05:22 PM",buy
16,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 05, 2021",$2.73,105,287,150259,"Jun 08, 2021, 05:22 PM",buy
17,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 14, 2021",$2.77,5105,14145,155994,"Jun 08, 2021, 05:22 PM",buy
18,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 20, 2021",$3.02,105,317,149129,"Jun 08, 2021, 05:22 PM",buy
19,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 29, 2021",$2.89,105,303,149839,"Jun 08, 2021, 05:22 PM",buy
20,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 10, 2021",$2.71,105,285,150574,"Jun 08, 2021, 05:22 PM",buy
21,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 23, 2021",$2.99,105,314,149444,"Jun 08, 2021, 05:22 PM",buy
22,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 04, 2021",$2.66,105,279,150154,"Jun 08, 2021, 05:22 PM",buy
23,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 13, 2021",$2.88,105,302,150889,"Jun 08, 2021, 05:22 PM",buy
24,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 19, 2021",$3.04,105,319,149024,"Jun 08, 2021, 05:22 PM",buy
25,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 28, 2021",$2.94,80,235,149734,"Jun 08, 2021, 05:22 PM",buy
26,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 07, 2021",$2.73,105,287,150469,"Jun 08, 2021, 05:22 PM",buy
27,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 22, 2021",$2.96,105,311,149339,"Jun 08, 2021, 05:22 PM",buy
28,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 03, 2021",$2.66,105,279,150049,"Jun 08, 2021, 05:22 PM",buy
29,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 12, 2021",$2.86,105,300,150784,"Jun 08, 2021, 05:22 PM",buy
30,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 16, 2021",$3.03,105,318,148919,"Jun 08, 2021, 05:22 PM",buy
31,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"Apr 27, 2021",$2.94,105,309,149654,"Jun 08, 2021, 05:22 PM",buy
32,CPIX,Cearnal Martin E,Sr VP/Chief Commercial Officer,"May 06, 2021",$2.74,105,288,150364,"Jun 08, 2021, 05:22 PM",buy
33,WTBA,DONOVAN PATRICK J,Director,"Jun 03, 2021",$28.76,2000,57520,4000,"Jun 08, 2021, 05:18 PM",buy
34,WTBA,DONOVAN PATRICK J,Director,"Jun 02, 2021",$28.68,2000,57360,2000,"Jun 08, 2021, 05:18 PM",buy
35,CHRA,Sewell Scott Andrew,President and CEO,"Jun 08, 2021",$5.95,2470,14704,666473,"Jun 08, 2021, 05:04 PM",buy
36,WEC,Lane Thomas K,Director,"Apr 28, 2021",$94.66,15,1420,15,"Jun 08, 2021, 04:43 PM",buy
37,WEC,Lane Thomas K,Director,"Apr 30, 2021",$96.39,5,482,3165,"Jun 08, 2021, 04:43 PM",buy
38,WEC,Lane Thomas K,Director,"Apr 27, 2021",$94.98,15,1425,15,"Jun 08, 2021, 04:43 PM",buy
39,WEC,Lane Thomas K,Director,"Apr 26, 2021",$95.80,5,479,3160,"Jun 08, 2021, 04:43 PM",buy
40,WEC,Lane Thomas K,Director,"Apr 26, 2021",$95.80,15,1437,15,"Jun 08, 2021, 04:43 PM",buy
41,WEC,Lane Thomas K,Director,"Apr 26, 2021",$95.80,15,1437,1715,"Jun 08, 2021, 04:43 PM",buy
42,SRT,Sengupta Aparup,Global Chief Executive Officer,"Jun 02, 2021",$6.97,10000,69713,77892,"Jun 08, 2021, 03:21 PM",buy
43,CLDB,Koch Joseph E,Director,"Jun 08, 2021",$24.54,33,810,14458,"Jun 08, 2021, 03:07 PM",buy
44,PFSI,"MFN Partners, LP",Director,"Jun 07, 2021",$61.90,50000,3095000,2970000,"Jun 08, 2021, 02:31 PM",buy
45,PFSI,"MFN Partners, LP",Director,"Jun 04, 2021",$59.93,88232,5287744,2920000,"Jun 08, 2021, 02:31 PM",buy
46,CLDB,KABACK NEIL J,Director,"Jun 08, 2021",$24.54,33,810,11396,"Jun 08, 2021, 02:23 PM",buy
47,CLDB,HOFFMAN JAMES E III,Director,"Jun 08, 2021",$24.54,33,810,11739,"Jun 08, 2021, 02:09 PM",buy
48,CLDB,COLE DAVID C,Director,"Jun 08, 2021",$24.54,33,810,7565,"Jun 08, 2021, 01:50 PM",buy
49,ICD,Minmier James,Director,"Jun 07, 2021",$4.11,4000,16434,11198,"Jun 08, 2021, 01:21 PM",buy
50,FMBM,Hanna Mark Christopher,President & CEO,"Jun 08, 2021",$29.70,51,1515,9417,"Jun 08, 2021, 01:16 PM",buy
51,FMBM,Comer Carrie A,EVP & CFO,"Jun 08, 2021",$29.70,4,119,1092,"Jun 08, 2021, 01:03 PM",buy
52,VCRRX,Doherty Robert Francis Jr,Director,"Jun 04, 2021",$26.12,1914,49994,1914,"Jun 08, 2021, 12:48 PM",buy
53,VCMIX,Doherty Robert Francis Jr,Director,"Jun 04, 2021",$28.23,1771,49995,1771,"Jun 08, 2021, 12:40 PM",buy
54,RCG,STAHL MURRAY,President & CEO,"Jun 07, 2021",$2.66,300,798,155500,"Jun 08, 2021, 10:53 AM",buy
55,RCG,STAHL MURRAY,President & CEO,"Jun 07, 2021",$2.66,300,798,155200,"Jun 08, 2021, 10:53 AM",buy
56,RCG,STAHL MURRAY,President & CEO,"Jun 07, 2021",$2.66,75,200,154900,"Jun 08, 2021, 10:53 AM",buy
57,TPL,STAHL MURRAY,Director,"Jun 07, 2021",$1507.00,10,15070,818,"Jun 08, 2021, 10:34 AM",buy
58,TPL,STAHL MURRAY,Director,"Jun 07, 2021",$1507.00,12,18084,228231,"Jun 08, 2021, 10:34 AM",buy
59,TPL,STAHL MURRAY,Director,"Jun 07, 2021",$1507.00,1,1507,1335,"Jun 08, 2021, 10:34 AM",buy
60,TPL,STAHL MURRAY,Director,"Jun 07, 2021",$1507.00,3,4521,1169,"Jun 08, 2021, 10:34 AM",buy
61,TPL,STAHL MURRAY,Director,"Jun 07, 2021",$1507.00,2,3014,102283,"Jun 08, 2021, 10:34 AM",buy
62,TPL,STAHL MURRAY,Director,"Jun 07, 2021",$1507.00,1,1507,42857,"Jun 08, 2021, 10:34 AM",buy
63,SLCT,McLamb Carlie C Jr,Director,"Jun 08, 2021",$16.86,597,10065,29934,"Jun 08, 2021, 10:33 AM",buy
64,CZNC,Pellegrino Frank G,Director,"Jun 07, 2021",$24.90,91,2266,23192,"Jun 08, 2021, 09:45 AM",buy
65,CNNB,Nurre Andrew J.,Director,"Jun 03, 2021",$13.85,108,1496,4020,"Jun 08, 2021, 09:01 AM",buy
66,AMRN,STACK DAVID M,Director,"Jun 04, 2021",$4.53,10000,45350,40000,"Jun 07, 2021, 09:53 PM",buy
67,AMRN,STACK DAVID M,Director,"Jun 03, 2021",$4.62,5000,23115,30000,"Jun 07, 2021, 09:53 PM",buy
68,DFCO,Nisar Fawad,COO,"Apr 30, 2021",$0.50,10000,4969,3517000,"Jun 07, 2021, 07:31 PM",buy
69,ESXB,Smith Rex L. III,President and CEO,"Jun 01, 2021",$8.74,655,5725,128067,"Jun 07, 2021, 06:32 PM",buy
70,CYCN,MCGUIRE TERRANCE,Director,"Jun 03, 2021",$3.12,3322,10365,24957,"Jun 07, 2021, 05:36 PM",buy
71,CYCN,MCGUIRE TERRANCE,Director,"Jun 03, 2021",$3.12,92831,289633,697313,"Jun 07, 2021, 05:36 PM",buy
72,HSON,Eberwein Jeffrey E.,Chief Executive Officer,"Jun 03, 2021",$18.95,500,9475,141653,"Jun 07, 2021, 05:35 PM",buy
73,HSON,Eberwein Jeffrey E.,Chief Executive Officer,"Jun 07, 2021",$18.69,500,9345,142653,"Jun 07, 2021, 05:35 PM",buy
74,HSON,Eberwein Jeffrey E.,Chief Executive Officer,"Jun 04, 2021",$18.95,500,9475,142153,"Jun 07, 2021, 05:35 PM",buy
75,CYCN,Hecht Peter M,Chief Executive Officer,"Jun 03, 2021",$3.28,823170,2699998,2047698,"Jun 07, 2021, 05:25 PM",buy
76,ELMD,MACCOURT MICHAEL JOSEPH,Chief Financial Officer,"Jun 03, 2021",$10.57,2000,21140,17000,"Jun 07, 2021, 04:55 PM",buy
77,FRST,COOK WILLIAM RAND,Director,"Jun 04, 2021",$15.56,1300,20228,2550,"Jun 07, 2021, 04:47 PM",buy
78,TELA,"EW HEALTHCARE PARTNERS FUND 2, L.P.",See Footnote 2,"Jun 03, 2021",$13.17,201,2647,1694262,"Jun 07, 2021, 04:42 PM",buy
79,GBDC,Golub Lawrence E,Chairman,"Jun 04, 2021",$16.08,2000,32150,2201385,"Jun 07, 2021, 04:35 PM",buy
80,GBDC,Golub Lawrence E,Chairman,"Jun 03, 2021",$16.04,2000,32079,2199385,"Jun 07, 2021, 04:35 PM",buy
81,CSBB,STEINER EDDIE L,President & CEO,"Jun 04, 2021",$38.50,1000,38500,9833,"Jun 07, 2021, 04:31 PM",buy
